Group,Sub-Group,Language,State,Number of Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Potawatomi,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tillamook,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Athapascan,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kuchin,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tanaina,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Texas,55,42,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kiowa,Texas,25,52,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tlingit,Texas,4,10,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Foothill North Yokuts,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Karok,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Yuchi,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Crow,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Hidatsa,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Texas,165,85,30,28,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Osage,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Alabama,Texas,290,114,55,33,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Texas,200,80,75,55,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Koasati,Texas,130,94,25,21,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Muskogee,Texas,75,65,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Keres,Texas,40,43,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Iroquois,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Oneida,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Seneca,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Texas,520,225,100,71,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Comanche,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mono,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Pima,Texas,55,65,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tiwa,Texas,20,20,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tewa,Texas,4,10,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Zuni,Texas,65,85,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Texas,60,41,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..San Carlos,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Texas,2902,539,693,220,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,Texas,55304,2843,19399,1258,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Texas,5633,930,873,245,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,Texas,15470,1650,6470,1110,,,,
ALL OTHER LANGUAGES,.African languages,..Berber,Texas,65,67,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Chadic,Texas,590,336,145,94,,,,
ALL OTHER LANGUAGES,.African languages,..Cushite,Texas,4155,1188,2645,836,,,,
ALL OTHER LANGUAGES,.African languages,..Sudanic,Texas,515,309,330,216,,,,
ALL OTHER LANGUAGES,.African languages,..Nilotic,Texas,425,255,125,175,,,,
ALL OTHER LANGUAGES,.African languages,..Nilo-Hamitic,Texas,35,37,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Nubian,Texas,50,51,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,Texas,11000,1192,2040,474,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,Texas,5735,1228,2170,798,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,Texas,730,328,265,149,,,,
ALL OTHER LANGUAGES,.African languages,..Fulani,Texas,885,337,180,118,,,,
ALL OTHER LANGUAGES,.African languages,..Gur,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Texas,38040,2871,6170,787,,,,
ALL OTHER LANGUAGES,.African languages,..Efik,Texas,1200,508,125,138,,,,
ALL OTHER LANGUAGES,.African languages,..Mbum (and related),Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..African,Texas,1860,479,735,377,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Texas,1010,277,85,60,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Texas,145,114,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Texas,100,65,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Texas,385,166,110,60,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Aztecan,Texas,325,224,160,146,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Texas,310,240,280,236,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Oto - Manguen,Texas,35,44,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Quechua,Texas,125,133,70,67,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Arawakian,Texas,160,160,60,79,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Chibchan,Texas,20,33,20,33,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Tupi-Guarani,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Texas,140,75,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,Utah,2187829,3995,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,Utah,245945,3330,97350,2729,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Utah,6645,630,1005,225,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Utah,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Utah,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Utah,407,230,83,92,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Utah,3064,701,411,148,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Utah,7150,748,1215,230,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Utah,9025,647,1210,251,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Utah,3,5,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Utah,95,127,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Utah,1735,372,225,102,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Utah,170,81,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Frisian,Utah,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Utah,895,256,115,68,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Utah,800,315,90,59,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Utah,825,192,135,67,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Utah,1012,235,182,77,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Utah,4118,574,1275,262,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Utah,937,427,198,106,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Utah,3030,582,1330,284,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Utah,200,122,105,82,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Utah,615,325,275,165,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Utah,205,99,105,67,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Utah,405,305,110,103,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Utah,275,218,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Utah,360,155,85,65,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Utah,30,27,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Utah,609,325,197,128,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Utah,1310,369,539,198,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Utah,1127,307,193,111,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Utah,333,173,103,104,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Utah,547,249,169,115,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Utah,110,93,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Utah,350,220,30,30,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Utah,590,261,240,127,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Utah,155,101,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Utah,1985,678,1405,487,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Utah,45,70,35,51,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Utah,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Utah,30,42,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,Utah,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,Utah,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Utah,470,173,120,90,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Utah,40,32,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Utah,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Utah,215,176,120,118,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Utah,85,68,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Utah,35,30,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Utah,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,Utah,175,125,120,94,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Utah,7625,857,4145,526,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Hakka,Utah,55,59,45,47,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Utah,1350,360,570,185,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Utah,2100,468,570,144,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Utah,295,128,190,93,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Wu,Utah,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Utah,4375,577,1098,256,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Utah,4614,659,1903,357,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Utah,1841,510,1005,307,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Utah,315,146,174,118,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Utah,1137,329,434,167,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Utah,1400,432,731,269,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Utah,6355,945,3788,629,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Utah,500,224,305,183,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkmen,Utah,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Utah,185,104,70,51,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Utah,580,185,135,85,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Utah,160,157,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Utah,150,135,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Utah,565,244,145,159,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Utah,255,243,150,167,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Utah,610,478,490,384,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Utah,400,254,330,230,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Utah,4309,532,1297,287,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Utah,230,119,60,64,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malagasy,Utah,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Utah,85,79,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sundanese,Utah,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Utah,220,145,95,83,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Utah,420,230,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Utah,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,Utah,60,39,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Utah,45,43,30,33,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Gilbertese,Utah,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,Utah,540,477,50,59,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Mokilese,Utah,20,25,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Utah,30,34,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ponapean,Utah,170,150,30,34,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,Utah,160,133,90,79,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Yapese,Utah,70,64,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Utah,4915,837,1035,271,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,Utah,6080,901,1330,308,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Niuean,Utah,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,Utah,95,63,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Rarotongan,Utah,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Maori,Utah,30,34,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Utah,95,94,NA,NA,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,Utah,8193,562,1288,239,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Aleut,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Yupik,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Blackfoot,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cheyenne,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cree,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Nez Perce,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Crow,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Hidatsa,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Utah,125,82,25,24,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Keres,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Comanche,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Paiute,Utah,205,130,15,15,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ute,Utah,1035,220,70,50,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Shoshoni,Utah,95,91,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Hopi,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tewa,Utah,65,52,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Zuni,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Utah,20,24,NA,NA,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Utah,314,185,25,23,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,Utah,2493,763,945,508,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Utah,241,149,8,13,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,Utah,240,152,70,63,,,,
ALL OTHER LANGUAGES,.African languages,..Chadic,Utah,135,192,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Cushite,Utah,1320,415,575,246,,,,
ALL OTHER LANGUAGES,.African languages,..Sudanic,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Nilotic,Utah,100,97,45,52,,,,
ALL OTHER LANGUAGES,.African languages,..Nilo-Hamitic,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Nilo-Saharan,Utah,85,99,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,Utah,350,259,190,242,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,Utah,375,172,115,109,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,Utah,65,64,45,59,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Utah,895,395,205,122,,,,
ALL OTHER LANGUAGES,.African languages,..Efik,Utah,65,64,40,59,,,,
ALL OTHER LANGUAGES,.African languages,..African,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Utah,465,150,55,47,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Basque,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Oto - Manguen,Utah,115,130,95,120,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Quechua,Utah,115,118,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Tupi-Guarani,Utah,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Utah,160,86,50,58,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,Vermont,563632,1174,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,Vermont,6180,494,1475,272,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Vermont,9310,687,1805,307,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Vermont,15,29,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Vermont,19,15,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Vermont,712,161,124,67,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Vermont,340,107,120,87,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Vermont,2180,344,305,89,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Vermont,71,55,2,3,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Vermont,375,113,50,41,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Vermont,105,100,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Vermont,135,80,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Vermont,65,35,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Vermont,135,83,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Vermont,189,90,6,6,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Vermont,672,204,168,95,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Vermont,706,190,103,59,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Vermont,1015,348,455,175,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Vermont,25,18,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Vermont,160,118,110,91,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Vermont,15,12,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Vermont,60,34,20,18,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Vermont,55,66,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Vermont,10,11,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Vermont,20,19,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Vermont,43,47,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Vermont,75,44,9,16,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Vermont,123,79,4,8,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Vermont,165,106,41,47,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Vermont,100,82,44,59,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Vermont,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Vermont,100,144,65,96,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Vermont,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Vermont,75,56,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Vermont,790,340,570,238,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Vermont,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Vermont,40,38,25,26,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Vermont,4,4,4,4,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Vermont,265,122,85,82,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Vermont,10,8,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Vermont,45,47,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Vermont,50,50,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Vermont,25,18,NA,NA,,,,
